date,description,type,amount,main_category,sub_category,bank,account
2025-06-23,Walmart Supercenter,debit,-14.42,Food / Dining,Groceries,goldenwest,checking
2025-06-24,Bank Withdrawal,debit,-0.02,General Spending,Other,goldenwest,checking
2025-06-30,Interest Earned,credit,0.87,Savings & Investments,Dividends,goldenwest,money market
2025-06-30,Interest Earned,credit,0.04,Savings & Investments,Dividends,goldenwest,checking
2025-06-30,Interest Earned,credit,1.29,Savings & Investments,Dividends,goldenwest,gold account
2025-06-30,Interest Earned,credit,0.01,Savings & Investments,Dividends,sofi,savings
2025-07-03,Byu (Campus Services),debit,-5.08,Education,Education,goldenwest,checking
2025-07-03,Byu (Campus Services),debit,-158.0,Education,Education,goldenwest,checking
2025-07-03,Payroll Deposit,credit,808.4,Income,Paychecks,goldenwest,checking
2025-07-05,Lava Hot Springs,debit,-7.75,Entertainment,Recreation,goldenwest,checking
2025-07-07,Life Starfish,debit,-300.0,Food / Dining,Groceries,goldenwest,checking
2025-07-08,Grandma Becky Payment,debit,-60.0,Travel & Lodging,Lodging,goldenwest,checking
2025-07-08,Nielsen's Frozen Custard,debit,-7.57,General Spending,Other,goldenwest,checking
2025-07-08,T-Mobile,debit,-27.95,Housing & Bills,Phone,goldenwest,checking
2025-07-10,Walmart Supercenter,debit,-187.3,Food / Dining,Groceries,capital one,credit card
2025-07-10,Walmart Supercenter,debit,-32.04,Food / Dining,Groceries,goldenwest,checking
2025-07-11,Costco Wholesale,debit,-55.49,Food / Dining,Groceries,goldenwest,checking
2025-07-11,Costco Wholesale,debit,-74.28,Food / Dining,Groceries,goldenwest,checking
2025-07-11,Capital One Member Fee,debit,-395.0,Housing & Bills,Service Fees,capital one,credit card
2025-07-11,Cheesecake,debit,-104.44,Food / Dining,Restaurants/Dining,capital one,credit card
2025-07-12,Lagoon Rfm,debit,-34.3,Entertainment,Recreation,capital one,credit card
2025-07-12,Lagoon Tic-Ag,debit,-20.0,Entertainment,Recreation,capital one,credit card
2025-07-12,Lagoon Rfm,debit,-15.0,Entertainment,Recreation,capital one,credit card
2025-07-12,Lagoon Rfm,debit,-5.0,Entertainment,Recreation,capital one,credit card
2025-07-12,Maverik,debit,-8.86,Automotive & Fuel,Fuel,capital one,credit card
2025-07-14,Mcdonald's,debit,-12.63,Food / Dining,Fast Food,capital one,credit card
2025-07-14,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,capital one,credit card
2025-07-14,Maverik,debit,-3.96,Automotive & Fuel,Fuel,capital one,credit card
2025-07-16,Slc Airport Parking,debit,-10.0,Automotive & Fuel,Maintenance,capital one,credit card
2025-07-17,Yogurtland Ut,debit,-6.1,Food / Dining,Fast Food,capital one,credit card
2025-07-17,Salt Lake City Airport Parking,debit,-2.0,Automotive & Fuel,Maintenance,goldenwest,checking
2025-07-18,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-07-18,Mcdonald's,debit,-19.52,Food / Dining,Fast Food,capital one,credit card
2025-07-18,Payroll Deposit,credit,761.81,Income,Paychecks,goldenwest,checking
2025-07-19,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-07-19,Walmart Supercenter,debit,-45.17,Food / Dining,Groceries,capital one,credit card
2025-07-20,Walmart Supercenter,debit,-57.21,Food / Dining,Groceries,capital one,credit card
2025-07-21,Walmart Supercenter,debit,-35.01,Food / Dining,Groceries,capital one,credit card
2025-07-21,Bear River Insurance,debit,-186.38,Automotive & Fuel,Insurance,goldenwest,checking
2025-07-21,Costco Wholesale,debit,-127.7,Food / Dining,Groceries,capital one,credit card
2025-07-21,Costco Wholesale,debit,-45.68,Food / Dining,Groceries,capital one,credit card
2025-07-21,Walmart Supercenter,debit,-86.24,Food / Dining,Groceries,capital one,credit card
2025-07-22,Maverik,debit,-4.6,Automotive & Fuel,Fuel,capital one,credit card
2025-07-22,Py Johnny Rockets,debit,-8.71,Food / Dining,Fast Food,capital one,credit card
2025-07-24,Ut Hunt/Fish Lic. Onli,debit,-39.86,Housing & Bills,Service Fees,capital one,credit card
2025-07-26,Walmart Supercenter,debit,-162.4,Food / Dining,Groceries,capital one,credit card
2025-07-27,Google Services,debit,-30.22,Housing & Bills,Service Fees,capital one,credit card
2025-07-28,Maverik,debit,-4.6,Automotive & Fuel,Fuel,capital one,credit card
2025-07-30,T-Mobile,debit,-11.18,Housing & Bills,Phone,capital one,credit card
2025-07-31,Interest Earned,credit,0.01,Savings & Investments,Dividends,sofi,savings
2025-07-31,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-07-31,Costco Wholesale,debit,-51.04,Food / Dining,Groceries,capital one,credit card
2025-07-31,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-07-31,Interest Earned,credit,1.36,Savings & Investments,Dividends,goldenwest,gold account
2025-07-31,Mcdonald's,debit,-14.14,Food / Dining,Fast Food,capital one,credit card
2025-07-31,Interest Earned,credit,0.07,Savings & Investments,Dividends,goldenwest,checking
2025-07-31,Payroll Deposit,credit,749.01,Income,Paychecks,goldenwest,checking
2025-07-31,Interest Earned,credit,0.9,Savings & Investments,Dividends,goldenwest,money market
2025-08-01,Cinemark Boxcon,debit,-4.18,Entertainment,Streaming/Movies,capital one,credit card
2025-08-01,Chevron,debit,-54.47,Automotive & Fuel,Fuel,capital one,credit card
2025-08-01,Provo City Cntr Temple,debit,-3.0,Entertainment,Recreation,capital one,credit card
2025-08-01,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-01,Cafe Zupas,debit,-14.94,Food / Dining,Restaurants/Dining,capital one,credit card
2025-08-01,Maverik,debit,-4.6,Automotive & Fuel,Fuel,capital one,credit card
2025-08-04,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-04,Utah Career Center,debit,-1.3,General Spending,Other,capital one,credit card
2025-08-04,Maverik,debit,-5.78,Automotive & Fuel,Fuel,capital one,credit card
2025-08-05,Walmart Supercenter,debit,-98.08,Food / Dining,Groceries,capital one,credit card
2025-08-06,Byu Refund,debit,-238.65,Income,Refunds,capital one,credit card
2025-08-07,T-Mobile,debit,-27.95,Housing & Bills,Phone,capital one,credit card
2025-08-07,"Deposit Transfer From Cummard,Cooper Hare",credit,1.0,Other Income,Other,goldenwest,checking
2025-08-09,Fye University Place -,debit,-107.43,General Spending,Other,capital one,credit card
2025-08-09,Texas Roadhouse,debit,-65.26,Food / Dining,Restaurants/Dining,capital one,credit card
2025-08-12,Costco Wholesale,debit,-46.08,Food / Dining,Groceries,capital one,credit card
2025-08-12,Costco Wholesale,debit,-188.8,Food / Dining,Groceries,capital one,credit card
2025-08-12,Home Depot,debit,-1.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-12,Walmart Supercenter,debit,-47.09,Food / Dining,Groceries,capital one,credit card
2025-08-13,Home Depot,debit,-1.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-13,Walmart Supercenter,debit,-147.24,Food / Dining,Groceries,capital one,credit card
2025-08-14,Panda Express,debit,-15.51,Food / Dining,Fast Food,capital one,credit card
2025-08-14,Leatherby's Family Cream,debit,-23.28,Food / Dining,Fast Food,capital one,credit card
2025-08-15,Payroll Deposit,credit,793.46,Income,Paychecks,goldenwest,checking
2025-08-16,Cotflt,debit,-1100.11,Travel & Lodging,Airfare,capital one,credit card
2025-08-19,Bear River Insurance,debit,-179.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-08-19,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-20,Taco Bell,debit,-21.0,Food / Dining,Fast Food,capital one,credit card
2025-08-20,Home Depot,debit,-2.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-08-21,Cbtutah County Clerk,debit,-45.0,Housing & Bills,Service Fees,capital one,credit card
2025-08-21,Mcdonald's,debit,-13.22,Food / Dining,Fast Food,capital one,credit card
2025-08-21,Walmart Supercenter,debit,-46.35,Food / Dining,Groceries,capital one,credit card
2025-08-21,Cbtsvc Fee Utah Cnty,debit,-1.5,Housing & Bills,Service Fees,capital one,credit card
2025-08-22,Tricked Out Accessories U,debit,-85.81,Shopping & Supplies,General Retail,capital one,credit card
2025-08-22,Maverik,debit,-4.6,Automotive & Fuel,Fuel,capital one,credit card
2025-08-22,Sq Tie One On,debit,-52.63,Health & Wellness,Personal Care,capital one,credit card
2025-08-23,Walmart Supercenter,debit,-116.33,Food / Dining,Groceries,capital one,credit card
2025-08-25,Utah Career Center,debit,-1.65,General Spending,Other,capital one,credit card
2025-08-27,Church Donations,debit,-248.0,Gifts & Donations,Tithing,goldenwest,checking
2025-08-27,Costco Wholesale,debit,-147.37,Food / Dining,Groceries,capital one,credit card
2025-08-27,Sq Winters Custom Hair D,debit,-66.0,Health & Wellness,Personal Care,capital one,credit card
2025-08-27,Costco Wholesale,debit,-54.95,Food / Dining,Groceries,capital one,credit card
2025-08-28,Church Donations,debit,-167.0,Gifts & Donations,Tithing,goldenwest,checking
2025-08-28,Church Donations,debit,-131.0,Gifts & Donations,Tithing,goldenwest,checking
2025-08-29,Byu (Campus Services),debit,-202.98,Education,Education,capital one,credit card
2025-08-29,Church Donations,debit,-152.0,Gifts & Donations,Tithing,goldenwest,checking
2025-08-29,Church Donations,debit,-135.0,Gifts & Donations,Tithing,goldenwest,checking
2025-08-29,Payroll Deposit,credit,781.92,Income,Paychecks,goldenwest,checking
2025-08-31,Interest Earned,credit,0.01,Savings & Investments,Dividends,sofi,savings
2025-08-31,Walmart Supercenter,debit,-48.34,Food / Dining,Groceries,capital one,credit card
2025-08-31,Interest Earned,credit,0.44,Savings & Investments,Dividends,goldenwest,money market
2025-08-31,Interest Earned,credit,0.12,Savings & Investments,Dividends,goldenwest,checking
2025-08-31,Interest Earned,credit,1.37,Savings & Investments,Dividends,goldenwest,gold account
2025-08-31,Credit-Travel Reward,credit,823.08,Income,CC Rewards,capital one,credit card
2025-09-01,Maverik,debit,-3.96,Automotive & Fuel,Fuel,capital one,credit card
2025-09-02,Walmart Supercenter,debit,-45.13,Food / Dining,Groceries,capital one,credit card
2025-09-03,Byu Refund,debit,-60.0,Income,Refunds,capital one,credit card
2025-09-03,Byu Refund,debit,-42.98,Income,Refunds,capital one,credit card
2025-09-04,Byu (Campus Services),debit,-10.0,Education,Education,capital one,credit card
2025-09-04,Home Depot,debit,-32.58,Shopping & Supplies,Home Improvement,capital one,credit card
2025-09-05,Byu Refund,credit,254.0,Income,Refunds,sofi,savings
2025-09-05,Bank Withdrawal,debit,-15.0,General Spending,Other,goldenwest,checking
2025-09-06,Costco Wholesale,debit,-45.07,Food / Dining,Groceries,capital one,credit card
2025-09-06,Byu Refund,credit,27.99,Income,Refunds,goldenwest,checking
2025-09-07,T-Mobile,debit,-27.95,Housing & Bills,Phone,capital one,credit card
2025-09-09,Byu Refund,debit,-2.89,Income,Refunds,capital one,credit card
2025-09-10,Domino's Pizza,debit,-36.83,Food / Dining,Fast Food,capital one,credit card
2025-09-10,Walmart Supercenter,debit,-48.47,Food / Dining,Groceries,capital one,credit card
2025-09-10,Byu Refund,credit,46.99,Income,Refunds,goldenwest,checking
2025-09-11,Byu (Campus Services),debit,-172.0,Education,Education,goldenwest,checking
2025-09-12,Payroll Deposit,credit,757.04,Income,Paychecks,goldenwest,checking
2025-09-12,Amazon,debit,-16.11,Shopping & Supplies,General Retail,capital one,credit card
2025-09-15,Walmart Supercenter,debit,-43.2,Food / Dining,Groceries,capital one,credit card
2025-09-15,Mcdonald's,debit,-20.01,Food / Dining,Fast Food,capital one,credit card
2025-09-15,Mcdonald's,debit,-3.3,Food / Dining,Fast Food,capital one,credit card
2025-09-15,Milk & Cookies,debit,-5.95,Food / Dining,Fast Food,capital one,credit card
2025-09-15,Byu (Campus Services),debit,-4.0,Education,Education,capital one,credit card
2025-09-16,Church Donations,debit,-173.0,Gifts & Donations,Tithing,goldenwest,checking
2025-09-16,Sp The Charlie Kirk Sh,debit,-44.85,General Spending,Other,capital one,credit card
2025-09-17,Costco Wholesale,debit,-146.77,Food / Dining,Groceries,capital one,credit card
2025-09-17,Costco Wholesale,debit,-51.42,Food / Dining,Groceries,capital one,credit card
2025-09-18,Taco Bell,debit,-25.87,Food / Dining,Fast Food,capital one,credit card
2025-09-19,Bear River Insurance,debit,-179.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-09-19,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-09-19,Nielsens Frozen Custar,debit,-8.87,Food / Dining,Fast Food,capital one,credit card
2025-09-20,Maverik,debit,-50.97,Automotive & Fuel,Fuel,capital one,credit card
2025-09-22,Crosspointe Dental,debit,-85.0,Health & Wellness,Medical,capital one,credit card
2025-09-22,Maverik,debit,-1.82,Automotive & Fuel,Fuel,capital one,credit card
2025-09-23,Salem High School,debit,-36.4,General Spending,Other,goldenwest,checking
2025-09-24,Taco Bell,debit,-16.76,Food / Dining,Fast Food,capital one,credit card
2025-09-26,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-09-26,Payroll Deposit,credit,623.58,Income,Paychecks,goldenwest,checking
2025-09-27,Walmart Supercenter,debit,-98.49,Food / Dining,Groceries,capital one,credit card
2025-09-29,Maverik,debit,-16.57,Automotive & Fuel,Fuel,capital one,credit card
2025-09-30,Interest Earned,credit,0.71,Savings & Investments,Dividends,sofi,savings
2025-09-30,Interest Earned,credit,0.07,Savings & Investments,Dividends,goldenwest,checking
2025-09-30,Interest Earned,credit,1.34,Savings & Investments,Dividends,goldenwest,gold account
2025-09-30,Interest Earned,credit,0.05,Savings & Investments,Dividends,goldenwest,money market
2025-10-01,Byu (Campus Services),debit,-202.0,Education,Education,goldenwest,checking
2025-10-01,Byu (Campus Services),debit,-3.7,Education,Education,capital one,credit card
2025-10-02,Maverik,debit,-55.89,Automotive & Fuel,Fuel,capital one,credit card
2025-10-02,Golden Corral,debit,-50.42,Food / Dining,Restaurants/Dining,capital one,credit card
2025-10-02,Crosspointe Dental,debit,-105.0,Health & Wellness,Medical,capital one,credit card
2025-10-02,Walmart Supercenter,debit,-81.56,Food / Dining,Groceries,capital one,credit card
2025-10-03,Dmv,debit,-93.5,Automotive & Fuel,Maintenance,capital one,credit card
2025-10-03,Costco Wholesale,debit,-55.45,Food / Dining,Groceries,capital one,credit card
2025-10-03,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-10-04,Del Taco,debit,-24.55,Food / Dining,Fast Food,capital one,credit card
2025-10-06,Walmart Supercenter,debit,-237.97,Food / Dining,Groceries,capital one,credit card
2025-10-07,T-Mobile,debit,-27.95,Housing & Bills,Phone,capital one,credit card
2025-10-08,Fandango/Vudu,debit,-10.73,Entertainment,Streaming/Movies,goldenwest,checking
2025-10-10,Byu (Campus Services),debit,-7.52,Education,Education,capital one,credit card
2025-10-10,Payroll Deposit,credit,607.08,Income,Paychecks,goldenwest,checking
2025-10-10,Papa John's,debit,-25.14,General Spending,Other,capital one,credit card
2025-10-14,Costco Wholesale,debit,-55.87,Food / Dining,Groceries,capital one,credit card
2025-10-14,Walmart Supercenter,debit,-41.17,Food / Dining,Groceries,capital one,credit card
2025-10-14,Steam (Gaming),debit,-3.21,Entertainment,Gaming,capital one,credit card
2025-10-16,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-10-16,Mcdonald's,debit,-14.75,Food / Dining,Fast Food,capital one,credit card
2025-10-18,Walmart Supercenter,debit,-134.67,Food / Dining,Groceries,capital one,credit card
2025-10-18,Deposit Promo Deposit Youth Engagement Promo Year Reward,credit,100.0,Other Income,Other,goldenwest,gold account
2025-10-20,Bear River Insurance,debit,-179.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-10-20,Maverik,debit,-53.86,Automotive & Fuel,Fuel,capital one,credit card
2025-10-21,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-10-22,Credit-Travel Reward,credit,41.27,Income,CC Rewards,capital one,credit card
2025-10-23,Byu (Campus Services),debit,-5.14,Education,Education,capital one,credit card
2025-10-24,Payroll Deposit,credit,640.37,Income,Paychecks,goldenwest,checking
2025-10-24,Maverik,debit,-55.37,Automotive & Fuel,Fuel,capital one,credit card
2025-10-24,Mcdonald's,debit,-5.18,Food / Dining,Fast Food,capital one,credit card
2025-10-24,Sp Shopcornbellys,debit,-73.85,Entertainment,Recreation,capital one,credit card
2025-10-24,Home Depot,debit,-1.05,Shopping & Supplies,Home Improvement,capital one,credit card
2025-10-25,Walmart Supercenter,debit,-165.62,Food / Dining,Groceries,capital one,credit card
2025-10-25,Sp Shopcornbellys,debit,-15.16,Entertainment,Recreation,capital one,credit card
2025-10-25,Ross,debit,-67.36,Shopping & Supplies,General Retail,capital one,credit card
2025-10-25,Springville Di,debit,-52.25,Shopping & Supplies,General Retail,capital one,credit card
2025-10-26,Jiffy Lube,debit,-470.51,Automotive & Fuel,Maintenance,capital one,credit card
2025-10-28,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-10-29,Zephyr Lot,debit,-12.0,Automotive & Fuel,Maintenance,capital one,credit card
2025-10-29,Maverik,debit,-3.95,Automotive & Fuel,Fuel,capital one,credit card
2025-10-29,Walmart Supercenter,debit,-39.39,Food / Dining,Groceries,capital one,credit card
2025-10-30,We Geek Together,debit,-30.03,General Spending,Other,capital one,credit card
2025-10-30,Byu (Campus Services),debit,-177.0,Education,Education,goldenwest,checking
2025-10-31,Spirit Halloween,debit,-19.0,Shopping & Supplies,Clothing,capital one,credit card
2025-10-31,Interest Earned,credit,1.62,Savings & Investments,Dividends,goldenwest,gold account
2025-10-31,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-10-31,Interest Earned,credit,0.84,Savings & Investments,Dividends,sofi,savings
2025-10-31,Interest Earned,credit,0.05,Savings & Investments,Dividends,goldenwest,money market
2025-10-31,Taco Bell,debit,-15.03,Food / Dining,Fast Food,capital one,credit card
2025-10-31,Interest Earned,credit,0.04,Savings & Investments,Dividends,goldenwest,checking
2025-11-01,Walmart Supercenter,debit,-89.82,Food / Dining,Groceries,capital one,credit card
2025-11-01,Fandango/Vudu,debit,-5.37,Entertainment,Streaming/Movies,capital one,credit card
2025-11-01,Papa John's,debit,-39.8,General Spending,Other,capital one,credit card
2025-11-02,Espn,debit,-32.21,Entertainment,Streaming/Movies,capital one,credit card
2025-11-03,Walmart Supercenter,debit,-117.38,Food / Dining,Groceries,capital one,credit card
2025-11-03,Maverik,debit,-3.95,Automotive & Fuel,Fuel,capital one,credit card
2025-11-04,Taco Bell,debit,-25.87,Food / Dining,Fast Food,capital one,credit card
2025-11-05,Maverik,debit,-52.02,Automotive & Fuel,Fuel,capital one,credit card
2025-11-05,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-11-07,T-Mobile,debit,-27.95,Housing & Bills,Phone,capital one,credit card
2025-11-07,Payroll Deposit,credit,626.51,Income,Paychecks,goldenwest,checking
2025-11-07,Mcdonald's,debit,-19.2,Food / Dining,Fast Food,capital one,credit card
2025-11-08,Walmart Supercenter,debit,-49.47,Food / Dining,Groceries,capital one,credit card
2025-11-08,Taco Bell,debit,-18.15,Food / Dining,Fast Food,capital one,credit card
2025-11-11,Cothtl,debit,-662.69,Travel & Lodging,Lodging,capital one,credit card
2025-11-11,Mcdonald's,debit,-9.11,Food / Dining,Fast Food,capital one,credit card
2025-11-11,Cothtl,debit,-111.22,Travel & Lodging,Lodging,capital one,credit card
2025-11-12,Costco Wholesale,debit,-262.89,Food / Dining,Groceries,capital one,credit card
2025-11-13,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-11-14,Credit-Travel Reward,credit,82.83,Income,CC Rewards,capital one,credit card
2025-11-16,Autozone,credit,23.64,Automotive & Fuel,Auto Parts,capital one,credit card
2025-11-16,Autozone,debit,-254.65,Automotive & Fuel,Auto Parts,capital one,credit card
2025-11-17,Costco Wholesale,debit,-49.78,Food / Dining,Groceries,capital one,credit card
2025-11-18,Church Donations,debit,-150.0,Gifts & Donations,Tithing,goldenwest,checking
2025-11-19,Bear River Insurance,debit,-178.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-11-19,Walmart Supercenter,debit,-91.91,Food / Dining,Groceries,capital one,credit card
2025-11-19,Sq Winters Custom Hair D,debit,-66.0,Health & Wellness,Personal Care,capital one,credit card
2025-11-19,Panda Express,debit,-16.51,Food / Dining,Fast Food,capital one,credit card
2025-11-21,Payroll Deposit,credit,622.01,Income,Paychecks,goldenwest,checking
2025-11-21,Ross,debit,-118.17,Shopping & Supplies,General Retail,capital one,credit card
2025-11-21,Papa Murphy's Ut Olo,debit,-35.31,General Spending,Other,capital one,credit card
2025-11-21,Home Depot,debit,-1.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-11-21,Walmart Supercenter,debit,-3.54,Food / Dining,Groceries,capital one,credit card
2025-11-21,Walmart Supercenter,debit,-47.64,Food / Dining,Groceries,capital one,credit card
2025-11-24,Walmart Supercenter,debit,-26.41,Food / Dining,Groceries,capital one,credit card
2025-11-24,Delta Air Baggage Fee,debit,-75.0,Travel & Lodging,Travel & Commute,capital one,credit card
2025-11-25,Panda Express,debit,-21.35,Food / Dining,Fast Food,capital one,credit card
2025-11-25,Byu (Campus Services),debit,-25.0,Education,Education,goldenwest,checking
2025-11-25,Credit-Travel Reward,credit,13.23,Income,CC Rewards,capital one,credit card
2025-11-25,Mopla Bewegt,debit,-67.0,Travel & Lodging,Travel & Commute,capital one,credit card
2025-11-25,Mopla Bewegt,debit,-67.0,Travel & Lodging,Travel & Commute,capital one,credit card
2025-11-26,Byu (Campus Services),debit,-172.0,Education,Education,goldenwest,checking
2025-11-26,Hotel Johann Berlin Recep,debit,-140.13,Travel & Lodging,Lodging,capital one,credit card
2025-11-26,Saturn Electro-Handels,debit,-22.57,Shopping & Supplies,General Retail,capital one,credit card
2025-11-26,Saturn Electro-Handels,debit,-1.15,Shopping & Supplies,General Retail,capital one,credit card
2025-11-26,Ristorante Calice Doro,debit,-17.38,Food / Dining,Restaurants/Dining,capital one,credit card
2025-11-26,Areas Roissy,debit,-10.37,Travel & Lodging,Travel & Commute,capital one,credit card
2025-11-27,By Salti Gmbh,debit,-34.81,General Spending,Other,capital one,credit card
2025-11-27,Wiener Feinbackerei,debit,-4.41,Food / Dining,Fast Food,capital one,credit card
2025-11-27,Mcdonald's,debit,-20.16,Food / Dining,Fast Food,capital one,credit card
2025-11-27,Rewe Markt Gmbh-Zwnl Ost,debit,-1.5,General Spending,Other,capital one,credit card
2025-11-27,Rewe Markt Gmbh-Zwnl Ost,debit,-3.92,General Spending,Other,capital one,credit card
2025-11-27,Elaya Ht. Leipzig City,debit,-3.76,Travel & Lodging,Lodging,capital one,credit card
2025-11-28,Arcotel Hafencity Dresden,debit,-31.51,Travel & Lodging,Lodging,capital one,credit card
2025-11-28,Voelkerschlachtdenkmal Le,debit,-30.2,Entertainment,Recreation,capital one,credit card
2025-11-28,Voelkerschlachtdenkmal Le,debit,-37.52,Entertainment,Recreation,capital one,credit card
2025-11-28,Rossmann,debit,-29.33,Health & Wellness,Personal Care,capital one,credit card
2025-11-28,Dolce Freddo Gmbh,debit,-6.62,Food / Dining,Fast Food,capital one,credit card
2025-11-28,Aldi Nord,debit,-12.13,Food / Dining,Groceries,capital one,credit card
2025-11-29,Sumup Gastro Veran,debit,-5.81,General Spending,Other,capital one,credit card
2025-11-29,Rossmann,debit,-1.38,Health & Wellness,Personal Care,capital one,credit card
